episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-272.00,-272.00,1,0.9950,72,-272.00
2,-244.00,-258.00,2,0.9900,44,-258.00
3,75.00,-147.00,2,0.9851,25,-147.00
4,-234.00,-168.75,3,0.9801,34,-147.00
5,-234.00,-181.80,4,0.9752,34,-147.00
6,-260.00,-194.83,5,0.9704,60,-147.00
7,-234.00,-200.43,6,0.9655,34,-147.00
8,69.00,-166.75,6,0.9607,31,-147.00
9,53.00,-142.33,6,0.9559,47,-142.33
10,-234.00,-151.50,7,0.9511,34,-142.33
11,-234.00,-159.00,8,0.9464,34,-142.33
12,56.00,-141.08,8,0.9416,44,-141.08
13,99.00,-122.62,8,0.9369,1,-122.62
14,-234.00,-130.57,9,0.9322,34,-122.62
15,-234.00,-137.47,10,0.9276,34,-122.62
16,-234.00,-143.50,11,0.9229,34,-122.62
17,98.00,-129.29,11,0.9183,2,-122.62
18,-245.00,-135.72,12,0.9137,45,-122.62
19,-234.00,-140.89,13,0.9092,34,-122.62
20,-234.00,-145.55,14,0.9046,34,-122.62
21,-234.00,-149.76,15,0.9001,34,-122.62
22,87.00,-139.00,15,0.8956,13,-122.62
23,-268.00,-144.61,16,0.8911,68,-122.62
24,38.00,-137.00,16,0.8867,62,-122.62
25,91.00,-127.88,16,0.8822,9,-122.62
26,-234.00,-131.96,17,0.8778,34,-122.62
27,-234.00,-135.74,18,0.8734,34,-122.62
28,79.00,-128.07,18,0.8691,21,-122.62
29,-234.00,-131.72,19,0.8647,34,-122.62
30,-234.00,-135.13,20,0.8604,34,-122.62
31,-234.00,-138.32,21,0.8561,34,-122.62
32,-234.00,-141.31,22,0.8518,34,-122.62
33,-234.00,-144.12,23,0.8475,34,-122.62
34,-234.00,-146.76,24,0.8433,34,-122.62
35,78.00,-140.34,24,0.8391,22,-122.62
36,-234.00,-142.94,25,0.8349,34,-122.62
37,21.00,-138.51,25,0.8307,79,-122.62
38,83.00,-132.68,25,0.8266,17,-122.62
39,-234.00,-135.28,26,0.8224,34,-122.62
40,98.00,-129.45,26,0.8183,2,-122.62
41,-234.00,-132.00,27,0.8142,34,-122.62
42,-234.00,-134.43,28,0.8102,34,-122.62
43,80.00,-129.44,28,0.8061,20,-122.62
44,55.00,-125.25,28,0.8021,45,-122.62
45,-278.00,-128.64,29,0.7981,78,-122.62
46,-234.00,-130.93,30,0.7941,34,-122.62
47,-257.00,-133.62,31,0.7901,57,-122.62
48,77.00,-129.23,31,0.7862,23,-122.62
49,76.00,-125.04,31,0.7822,24,-122.62
50,54.00,-121.46,31,0.7783,46,-121.46
51,86.00,-117.39,31,0.7744,14,-117.39
52,-295.00,-120.81,32,0.7705,95,-117.39
53,73.00,-117.15,32,0.7667,27,-117.15
54,-234.00,-119.31,33,0.7629,34,-117.15
55,-234.00,-121.40,34,0.7590,34,-117.15
56,28.00,-118.73,34,0.7553,72,-117.15
57,-274.00,-121.46,35,0.7515,74,-117.15
58,-234.00,-123.40,36,0.7477,34,-117.15
59,-234.00,-125.27,37,0.7440,34,-117.15
60,-234.00,-127.08,38,0.7403,34,-117.15
61,-308.00,-130.05,39,0.7366,108,-117.15
62,99.00,-126.35,39,0.7329,1,-117.15
63,-150.00,-126.73,39,0.7292,150,-117.15
64,-234.00,-128.41,40,0.7256,34,-117.15
65,97.00,-124.94,40,0.7219,3,-117.15
66,-326.00,-127.98,41,0.7183,126,-117.15
67,-259.00,-129.94,42,0.7147,59,-117.15
68,88.00,-126.74,42,0.7112,12,-117.15
69,57.00,-124.07,42,0.7076,43,-117.15
70,99.00,-120.89,42,0.7041,1,-117.15
71,-150.00,-121.30,42,0.7005,150,-117.15
72,92.00,-118.33,42,0.6970,8,-117.15
73,-318.00,-121.07,43,0.6936,118,-117.15
74,-234.00,-122.59,44,0.6901,34,-117.15
75,-234.00,-124.08,45,0.6866,34,-117.15
76,70.00,-121.53,45,0.6832,30,-117.15
77,-234.00,-122.99,46,0.6798,34,-117.15
78,-234.00,-124.41,47,0.6764,34,-117.15
79,-234.00,-125.80,48,0.6730,34,-117.15
80,-304.00,-128.03,49,0.6696,104,-117.15
81,-316.00,-130.35,50,0.6663,116,-117.15
82,-234.00,-131.61,51,0.6630,34,-117.15
83,-265.00,-133.22,52,0.6597,65,-117.15
84,28.00,-131.30,52,0.6564,72,-117.15
85,99.00,-128.59,52,0.6531,1,-117.15
86,68.00,-126.30,52,0.6498,32,-117.15
87,-150.00,-126.57,52,0.6466,150,-117.15
88,18.00,-124.93,52,0.6433,82,-117.15
89,-150.00,-125.21,52,0.6401,150,-117.15
90,-150.00,-125.49,52,0.6369,150,-117.15
91,45.00,-123.62,52,0.6337,55,-117.15
92,-150.00,-123.90,52,0.6306,150,-117.15
93,92.00,-121.58,52,0.6274,8,-117.15
94,-150.00,-121.88,52,0.6243,150,-117.15
95,-286.00,-123.61,53,0.6211,86,-117.15
96,-150.00,-123.89,53,0.6180,150,-117.15
97,93.00,-121.65,53,0.6149,7,-117.15
98,-234.00,-122.80,54,0.6119,34,-117.15
99,-234.00,-123.92,55,0.6088,34,-117.15
100,-234.00,-125.02,56,0.6058,34,-117.15
101,79.00,-121.51,56,0.6027,21,-117.15
102,-333.00,-122.40,57,0.5997,133,-117.15
103,-150.00,-124.65,57,0.5967,150,-117.15
104,60.00,-121.71,57,0.5937,40,-117.15
105,-150.00,-120.87,57,0.5908,150,-117.15
106,-150.00,-119.77,57,0.5878,150,-117.15
107,-150.00,-118.93,57,0.5849,150,-117.15
108,-150.00,-121.12,57,0.5820,150,-117.15
109,83.00,-120.82,57,0.5790,17,-117.15
110,-150.00,-119.98,57,0.5762,150,-117.15
111,57.00,-117.07,57,0.5733,43,-117.07
112,85.00,-116.78,57,0.5704,15,-116.78
113,-150.00,-119.27,57,0.5676,150,-116.78
114,14.00,-116.79,57,0.5647,86,-116.78
115,-150.00,-115.95,57,0.5619,150,-115.95
116,-234.00,-115.95,58,0.5591,34,-115.95
117,-150.00,-118.43,58,0.5563,150,-115.95
118,95.00,-115.03,58,0.5535,5,-115.03
119,-150.00,-114.19,58,0.5507,150,-114.19
120,87.00,-110.98,58,0.5480,13,-110.98
121,5.00,-108.59,58,0.5452,95,-108.59
122,-150.00,-110.96,58,0.5425,150,-108.59
123,65.00,-107.63,58,0.5398,35,-107.63
124,73.00,-107.28,58,0.5371,27,-107.28
125,-150.00,-109.69,58,0.5344,150,-107.28
126,99.00,-106.36,58,0.5318,1,-106.36
127,-150.00,-105.52,58,0.5291,150,-105.52
128,-31.00,-106.62,58,0.5264,131,-105.52
129,-150.00,-105.78,58,0.5238,150,-105.52
130,-150.00,-104.94,58,0.5212,150,-104.94
131,-150.00,-104.10,58,0.5186,150,-104.10
132,-150.00,-103.26,58,0.5160,150,-103.26
133,-150.00,-102.42,58,0.5134,150,-102.42
134,-150.00,-101.58,58,0.5108,150,-101.58
135,97.00,-101.39,58,0.5083,3,-101.39
136,94.00,-98.11,58,0.5058,6,-98.11
137,-150.00,-99.82,58,0.5032,150,-98.11
138,66.00,-99.99,58,0.5007,34,-98.11
139,-150.00,-99.15,58,0.4982,150,-98.11
140,87.00,-99.26,58,0.4957,13,-98.11
141,24.00,-96.68,58,0.4932,76,-96.68
142,-150.00,-95.84,58,0.4908,150,-95.84
143,-296.00,-99.60,59,0.4883,96,-95.84
144,26.00,-99.89,59,0.4859,74,-95.84
145,-150.00,-98.61,59,0.4834,150,-95.84
146,-234.00,-98.61,60,0.4810,34,-95.84
147,-150.00,-97.54,60,0.4786,150,-95.84
148,58.00,-97.73,60,0.4762,42,-95.84
149,-298.00,-101.47,61,0.4738,98,-95.84
150,-150.00,-103.51,61,0.4715,150,-95.84
151,5.00,-104.32,61,0.4691,95,-95.84
152,-234.00,-103.71,62,0.4668,34,-95.84
153,95.00,-103.49,62,0.4644,5,-95.84
154,-259.00,-103.74,63,0.4621,59,-95.84
155,48.00,-100.92,63,0.4598,52,-95.84
156,-321.00,-104.41,64,0.4575,121,-95.84
157,84.00,-100.83,64,0.4552,16,-95.84
158,69.00,-97.80,64,0.4529,31,-95.84
159,99.00,-94.47,64,0.4507,1,-94.47
160,-36.00,-92.49,64,0.4484,136,-92.49
161,35.00,-89.06,64,0.4462,65,-89.06
162,83.00,-89.22,64,0.4440,17,-89.06
163,90.00,-86.82,64,0.4417,10,-86.82
164,20.00,-84.28,64,0.4395,80,-84.28
165,-150.00,-86.75,64,0.4373,150,-84.28
