episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,81.00,81.00,0,0.9950,19,81.00
2,-278.00,-98.50,1,0.9900,78,81.00
3,82.00,-38.33,1,0.9851,18,81.00
4,-234.00,-87.25,2,0.9801,34,81.00
5,-234.00,-116.60,3,0.9752,34,81.00
6,87.00,-82.67,3,0.9704,13,81.00
7,-234.00,-104.29,4,0.9655,34,81.00
8,-234.00,-120.50,5,0.9607,34,81.00
9,-234.00,-133.11,6,0.9559,34,81.00
10,-234.00,-143.20,7,0.9511,34,81.00
11,75.00,-123.36,7,0.9464,25,81.00
12,74.00,-106.92,7,0.9416,26,81.00
13,-234.00,-116.69,8,0.9369,34,81.00
14,-326.00,-131.64,9,0.9322,126,81.00
15,-234.00,-138.47,10,0.9276,34,81.00
16,92.00,-124.06,10,0.9229,8,81.00
17,-234.00,-130.53,11,0.9183,34,81.00
18,82.00,-118.72,11,0.9137,18,81.00
19,-234.00,-124.79,12,0.9092,34,81.00
20,93.00,-113.90,12,0.9046,7,81.00
21,40.00,-106.57,12,0.9001,60,81.00
22,-257.00,-113.41,13,0.8956,57,81.00
23,87.00,-104.70,13,0.8911,13,81.00
24,-234.00,-110.08,14,0.8867,34,81.00
25,96.00,-101.84,14,0.8822,4,81.00
26,89.00,-94.50,14,0.8778,11,81.00
27,-234.00,-99.67,15,0.8734,34,81.00
28,-234.00,-104.46,16,0.8691,34,81.00
29,75.00,-98.28,16,0.8647,25,81.00
30,94.00,-91.87,16,0.8604,6,81.00
31,-234.00,-96.45,17,0.8561,34,81.00
32,-234.00,-100.75,18,0.8518,34,81.00
33,74.00,-95.45,18,0.8475,26,81.00
34,-234.00,-99.53,19,0.8433,34,81.00
35,-234.00,-103.37,20,0.8391,34,81.00
36,26.00,-99.78,20,0.8349,74,81.00
37,98.00,-94.43,20,0.8307,2,81.00
38,50.00,-90.63,20,0.8266,50,81.00
39,66.00,-86.62,20,0.8224,34,81.00
40,-306.00,-92.10,21,0.8183,106,81.00
41,-234.00,-95.56,22,0.8142,34,81.00
42,-234.00,-98.86,23,0.8102,34,81.00
43,-234.00,-102.00,24,0.8061,34,81.00
44,87.00,-97.70,24,0.8021,13,81.00
45,98.00,-93.36,24,0.7981,2,81.00
46,-289.00,-97.61,25,0.7941,89,81.00
47,93.00,-93.55,25,0.7901,7,81.00
48,-234.00,-96.48,26,0.7862,34,81.00
49,-234.00,-99.29,27,0.7822,34,81.00
50,84.00,-95.62,27,0.7783,16,81.00
51,72.00,-92.33,27,0.7744,28,81.00
52,-248.00,-95.33,28,0.7705,48,81.00
53,-234.00,-97.94,29,0.7667,34,81.00
54,-11.00,-96.33,29,0.7629,111,81.00
55,81.00,-93.11,29,0.7590,19,81.00
56,-234.00,-95.62,30,0.7553,34,81.00
57,99.00,-92.21,30,0.7515,1,81.00
58,-249.00,-94.91,31,0.7477,49,81.00
59,99.00,-91.63,31,0.7440,1,81.00
60,-150.00,-92.60,31,0.7403,150,81.00
61,95.00,-89.52,31,0.7366,5,81.00
62,-234.00,-91.85,32,0.7329,34,81.00
63,-234.00,-94.11,33,0.7292,34,81.00
64,-234.00,-96.30,34,0.7256,34,81.00
65,99.00,-93.29,34,0.7219,1,81.00
66,-234.00,-95.42,35,0.7183,34,81.00
67,-340.00,-99.07,36,0.7147,140,81.00
68,94.00,-96.24,36,0.7112,6,81.00
69,71.00,-93.81,36,0.7076,29,81.00
70,-234.00,-95.81,37,0.7041,34,81.00
71,39.00,-93.92,37,0.7005,61,81.00
72,-150.00,-94.69,37,0.6970,150,81.00
73,-234.00,-96.60,38,0.6936,34,81.00
74,-259.00,-98.80,39,0.6901,59,81.00
75,92.00,-96.25,39,0.6866,8,81.00
76,90.00,-93.80,39,0.6832,10,81.00
77,-234.00,-95.62,40,0.6798,34,81.00
78,59.00,-93.64,40,0.6764,41,81.00
79,-150.00,-94.35,40,0.6730,150,81.00
80,-294.00,-96.85,41,0.6696,94,81.00
81,-150.00,-97.51,41,0.6663,150,81.00
82,67.00,-95.50,41,0.6630,33,81.00
83,50.00,-93.75,41,0.6597,50,81.00
84,-234.00,-95.42,42,0.6564,34,81.00
85,88.00,-93.26,42,0.6531,12,81.00
86,-2.00,-92.20,42,0.6498,102,81.00
87,-262.00,-94.15,43,0.6466,62,81.00
88,-150.00,-94.78,43,0.6433,150,81.00
89,95.00,-92.65,43,0.6401,5,81.00
90,-234.00,-94.22,44,0.6369,34,81.00
91,94.00,-92.15,44,0.6337,6,81.00
92,-234.00,-93.70,45,0.6306,34,81.00
93,-234.00,-95.20,46,0.6274,34,81.00
94,-234.00,-96.68,47,0.6243,34,81.00
95,-302.00,-98.84,48,0.6211,102,81.00
96,-234.00,-100.25,49,0.6180,34,81.00
97,-297.00,-102.28,50,0.6149,97,81.00
98,74.00,-100.48,50,0.6119,26,81.00
99,72.00,-98.74,50,0.6088,28,81.00
100,-150.00,-99.25,50,0.6058,150,81.00
101,-150.00,-101.56,50,0.6027,150,81.00
102,-234.00,-101.12,51,0.5997,34,81.00
103,-234.00,-104.28,52,0.5967,34,81.00
104,83.00,-101.11,52,0.5937,17,81.00
105,94.00,-97.83,52,0.5908,6,81.00
106,-150.00,-100.20,52,0.5878,150,81.00
107,-234.00,-100.20,53,0.5849,34,81.00
108,-291.00,-100.77,54,0.5820,91,81.00
109,-331.00,-101.74,55,0.5790,131,81.00
110,-150.00,-100.90,55,0.5762,150,81.00
111,-234.00,-103.99,56,0.5733,34,81.00
112,-234.00,-107.07,57,0.5704,34,81.00
113,77.00,-103.96,57,0.5676,23,81.00
114,-234.00,-103.04,58,0.5647,34,81.00
115,48.00,-100.22,58,0.5619,52,81.00
116,-150.00,-102.64,58,0.5591,150,81.00
117,25.00,-100.05,58,0.5563,75,81.00
118,74.00,-100.13,58,0.5535,26,81.00
119,98.00,-96.81,58,0.5507,2,81.00
120,-7.00,-97.81,58,0.5480,107,81.00
121,77.00,-97.44,58,0.5452,23,81.00
122,-150.00,-96.37,58,0.5425,150,81.00
123,-150.00,-98.74,58,0.5398,150,81.00
124,68.00,-95.72,58,0.5371,32,81.00
125,-150.00,-98.18,58,0.5344,150,81.00
126,-8.00,-99.15,58,0.5318,108,81.00
127,34.00,-96.47,58,0.5291,66,81.00
128,99.00,-93.14,58,0.5264,1,81.00
129,92.00,-92.97,58,0.5238,8,81.00
130,-150.00,-95.41,58,0.5212,150,81.00
131,-347.00,-96.54,59,0.5186,147,81.00
132,-305.00,-97.25,60,0.5160,105,81.00
133,-150.00,-99.49,60,0.5134,150,81.00
134,70.00,-96.45,60,0.5108,30,81.00
135,-257.00,-96.68,61,0.5083,57,81.00
136,27.00,-96.67,61,0.5058,73,81.00
137,94.00,-96.71,61,0.5032,6,81.00
138,-234.00,-99.55,62,0.5007,34,81.00
139,99.00,-99.22,62,0.4982,1,81.00
140,-150.00,-97.66,62,0.4957,150,81.00
141,98.00,-94.34,62,0.4932,2,81.00
142,-268.00,-94.68,63,0.4908,68,81.00
143,70.00,-91.64,63,0.4883,30,81.00
144,-234.00,-94.85,64,0.4859,34,81.00
145,97.00,-94.86,64,0.4834,3,81.00
146,98.00,-90.99,64,0.4810,2,81.00
147,-234.00,-94.26,65,0.4786,34,81.00
148,58.00,-91.34,65,0.4762,42,81.00
149,30.00,-88.70,65,0.4738,70,81.00
150,-234.00,-91.88,66,0.4715,34,81.00
151,38.00,-92.22,66,0.4691,62,81.00
152,-329.00,-93.03,67,0.4668,129,81.00
153,-25.00,-90.94,67,0.4644,125,81.00
154,73.00,-90.10,67,0.4621,27,81.00
155,-34.00,-91.25,67,0.4598,134,81.00
156,-150.00,-90.41,67,0.4575,150,81.00
157,88.00,-90.52,67,0.4552,12,81.00
158,16.00,-87.87,67,0.4529,84,81.00
159,84.00,-88.02,67,0.4507,16,81.00
160,-324.00,-89.76,68,0.4484,124,81.00
161,31.00,-90.40,68,0.4462,69,81.00
162,-256.00,-90.62,69,0.4440,56,81.00
163,98.00,-87.30,69,0.4417,2,81.00
164,-32.00,-85.28,69,0.4395,132,81.00
165,77.00,-85.50,69,0.4373,23,81.00
166,-307.00,-86.23,70,0.4351,107,81.00
167,-311.00,-85.94,71,0.4330,111,81.00
168,-234.00,-89.22,72,0.4308,34,81.00
169,96.00,-88.97,72,0.4286,4,81.00
170,-310.00,-89.73,73,0.4265,110,81.00
171,98.00,-89.14,73,0.4244,2,81.00
172,-267.00,-90.31,74,0.4223,67,81.00
173,-234.00,-90.31,75,0.4201,34,81.00
174,-319.00,-90.91,76,0.4180,119,81.00
175,-150.00,-93.33,76,0.4159,150,81.00
176,-234.00,-96.57,77,0.4139,34,81.00
177,-150.00,-95.73,77,0.4118,150,81.00
178,-150.00,-97.82,77,0.4097,150,81.00
179,46.00,-95.86,77,0.4077,54,81.00
180,-234.00,-95.26,78,0.4057,34,81.00
181,24.00,-93.52,78,0.4036,76,81.00
182,74.00,-93.45,78,0.4016,26,81.00
183,-150.00,-95.45,78,0.3996,150,81.00
184,76.00,-92.35,78,0.3976,24,81.00
185,-262.00,-95.85,79,0.3956,62,81.00
186,-150.00,-97.33,79,0.3936,150,81.00
187,-150.00,-96.21,79,0.3917,150,81.00
188,-150.00,-96.21,79,0.3897,150,81.00
189,-150.00,-98.66,79,0.3878,150,81.00
190,-150.00,-97.82,79,0.3858,150,81.00
191,-14.00,-98.90,79,0.3839,114,81.00
192,85.00,-95.71,79,0.3820,15,81.00
193,92.00,-92.45,79,0.3801,8,81.00
194,99.00,-89.12,79,0.3782,1,81.00
195,97.00,-85.13,79,0.3763,3,81.00
196,25.00,-82.54,79,0.3744,75,81.00
197,76.00,-78.81,79,0.3725,24,81.00
198,-150.00,-81.05,79,0.3707,150,81.00
199,-150.00,-83.27,79,0.3688,150,81.00
200,89.00,-80.88,79,0.3670,11,81.00
201,83.00,-78.55,79,0.3651,17,81.00
202,-150.00,-77.71,79,0.3633,150,81.00
203,79.00,-74.58,79,0.3615,21,81.00
204,-150.00,-76.91,79,0.3597,150,81.00
205,-150.00,-79.35,79,0.3579,150,81.00
206,98.00,-76.87,79,0.3561,2,81.00
207,98.00,-73.55,79,0.3543,2,81.00
208,88.00,-69.76,79,0.3525,12,81.00
209,-150.00,-67.95,79,0.3508,150,81.00
210,96.00,-65.49,79,0.3490,4,81.00
211,89.00,-62.26,79,0.3473,11,81.00
212,15.00,-59.77,79,0.3455,85,81.00
213,77.00,-59.77,79,0.3438,23,81.00
214,57.00,-56.86,79,0.3421,43,81.00
215,78.00,-56.56,79,0.3404,22,81.00
216,-150.00,-56.56,79,0.3387,150,81.00
217,-150.00,-58.31,79,0.3370,150,81.00
218,-150.00,-60.55,79,0.3353,150,81.00
219,-150.00,-63.03,79,0.3336,150,81.00
220,31.00,-62.65,79,0.3320,69,81.00
221,-150.00,-64.92,79,0.3303,150,81.00
222,-336.00,-66.78,80,0.3286,136,81.00
223,-150.00,-66.78,80,0.3270,150,81.00
224,-150.00,-68.96,80,0.3254,150,81.00
225,89.00,-66.57,80,0.3237,11,81.00
226,95.00,-65.54,80,0.3221,5,81.00
227,-150.00,-67.38,80,0.3205,150,81.00
228,-150.00,-69.87,80,0.3189,150,81.00
229,-150.00,-72.29,80,0.3173,150,81.00
230,98.00,-69.81,80,0.3157,2,81.00
231,-150.00,-67.84,80,0.3141,150,81.00
232,55.00,-64.24,80,0.3126,45,81.00
233,-150.00,-64.24,80,0.3110,150,81.00
234,-23.00,-65.17,80,0.3095,123,81.00
235,-150.00,-64.10,80,0.3079,150,81.00
236,97.00,-63.40,80,0.3064,3,81.00
237,83.00,-63.51,80,0.3048,17,81.00
238,92.00,-60.25,80,0.3033,8,81.00
239,-150.00,-62.74,80,0.3018,150,81.00
240,60.00,-60.64,80,0.3003,40,81.00
241,-150.00,-63.12,80,0.2988,150,81.00
242,-150.00,-61.94,80,0.2973,150,81.00
243,-150.00,-64.14,80,0.2958,150,81.00
244,-150.00,-63.30,80,0.2943,150,81.00
245,85.00,-63.42,80,0.2929,15,81.00
246,67.00,-63.73,80,0.2914,33,81.00
247,-150.00,-62.89,80,0.2899,150,81.00
248,31.00,-63.16,80,0.2885,69,81.00
249,-150.00,-64.96,80,0.2870,150,81.00
