episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-234.00,-234.00,1,0.9950,34,-234.00
2,97.00,-68.50,1,0.9900,3,-68.50
3,-234.00,-123.67,2,0.9851,34,-68.50
4,-234.00,-151.25,3,0.9801,34,-68.50
5,61.00,-108.80,3,0.9752,39,-68.50
6,-234.00,-129.67,4,0.9704,34,-68.50
7,95.00,-97.57,4,0.9655,5,-68.50
8,-234.00,-114.62,5,0.9607,34,-68.50
9,-234.00,-127.89,6,0.9559,34,-68.50
10,19.00,-113.20,6,0.9511,81,-68.50
11,45.00,-98.82,6,0.9464,55,-68.50
12,35.00,-87.67,6,0.9416,65,-68.50
13,-240.00,-99.38,7,0.9369,40,-68.50
14,78.00,-86.71,7,0.9322,22,-68.50
15,46.00,-77.87,7,0.9276,54,-68.50
16,95.00,-67.06,7,0.9229,5,-67.06
17,-234.00,-76.88,8,0.9183,34,-67.06
18,92.00,-67.50,8,0.9137,8,-67.06
19,79.00,-59.79,8,0.9092,21,-59.79
20,-258.00,-69.70,9,0.9046,58,-59.79
21,-266.00,-79.05,10,0.9001,66,-59.79
22,-247.00,-86.68,11,0.8956,47,-59.79
23,-234.00,-93.09,12,0.8911,34,-59.79
24,-234.00,-98.96,13,0.8867,34,-59.79
25,-234.00,-104.36,14,0.8822,34,-59.79
26,-234.00,-109.35,15,0.8778,34,-59.79
27,-336.00,-117.74,16,0.8734,136,-59.79
28,-234.00,-121.89,17,0.8691,34,-59.79
29,93.00,-114.48,17,0.8647,7,-59.79
30,-274.00,-119.80,18,0.8604,74,-59.79
31,72.00,-113.61,18,0.8561,28,-59.79
32,-234.00,-117.38,19,0.8518,34,-59.79
33,-234.00,-120.91,20,0.8475,34,-59.79
34,97.00,-114.50,20,0.8433,3,-59.79
35,94.00,-108.54,20,0.8391,6,-59.79
36,-150.00,-109.69,20,0.8349,150,-59.79
37,-310.00,-115.11,21,0.8307,110,-59.79
38,95.00,-109.58,21,0.8266,5,-59.79
39,76.00,-104.82,21,0.8224,24,-59.79
40,84.00,-100.10,21,0.8183,16,-59.79
41,-315.00,-105.34,22,0.8142,115,-59.79
42,86.00,-100.79,22,0.8102,14,-59.79
43,-234.00,-103.88,23,0.8061,34,-59.79
44,-249.00,-107.18,24,0.8021,49,-59.79
45,-262.00,-110.62,25,0.7981,62,-59.79
46,94.00,-106.17,25,0.7941,6,-59.79
47,58.00,-102.68,25,0.7901,42,-59.79
48,-280.00,-106.38,26,0.7862,80,-59.79
49,-234.00,-108.98,27,0.7822,34,-59.79
50,88.00,-105.04,27,0.7783,12,-59.79
51,-234.00,-107.57,28,0.7744,34,-59.79
52,-285.00,-110.98,29,0.7705,85,-59.79
53,-269.00,-113.96,30,0.7667,69,-59.79
54,-266.00,-116.78,31,0.7629,66,-59.79
55,-252.00,-119.24,32,0.7590,52,-59.79
56,-234.00,-121.29,33,0.7553,34,-59.79
57,-23.00,-119.56,33,0.7515,123,-59.79
58,-234.00,-121.53,34,0.7477,34,-59.79
59,-234.00,-123.44,35,0.7440,34,-59.79
60,-234.00,-125.28,36,0.7403,34,-59.79
61,-150.00,-125.69,36,0.7366,150,-59.79
62,94.00,-122.15,36,0.7329,6,-59.79
63,-234.00,-123.92,37,0.7292,34,-59.79
64,99.00,-120.44,37,0.7256,1,-59.79
65,-342.00,-123.85,38,0.7219,142,-59.79
66,-234.00,-125.52,39,0.7183,34,-59.79
67,83.00,-122.40,39,0.7147,17,-59.79
68,-234.00,-124.04,40,0.7112,34,-59.79
69,94.00,-120.88,40,0.7076,6,-59.79
70,-150.00,-121.30,40,0.7041,150,-59.79
71,-234.00,-122.89,41,0.7005,34,-59.79
72,38.00,-120.65,41,0.6970,62,-59.79
73,-234.00,-122.21,42,0.6936,34,-59.79
74,-303.00,-124.65,43,0.6901,103,-59.79
75,-339.00,-127.51,44,0.6866,139,-59.79
76,92.00,-124.62,44,0.6832,8,-59.79
77,-150.00,-124.95,44,0.6798,150,-59.79
78,-321.00,-127.46,45,0.6764,121,-59.79
79,89.00,-124.72,45,0.6730,11,-59.79
80,70.00,-122.29,45,0.6696,30,-59.79
81,-150.00,-122.63,45,0.6663,150,-59.79
82,-234.00,-123.99,46,0.6630,34,-59.79
83,-150.00,-124.30,46,0.6597,150,-59.79
84,-150.00,-124.61,46,0.6564,150,-59.79
85,88.00,-122.11,46,0.6531,12,-59.79
86,-1.00,-120.70,46,0.6498,101,-59.79
87,93.00,-118.24,46,0.6466,7,-59.79
