episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-222.00,-222.00,1,0.9950,72,-222.00
2,-244.00,-233.00,2,0.9900,44,-222.00
3,75.00,-130.33,2,0.9851,25,-130.33
4,-234.00,-156.25,3,0.9801,34,-130.33
5,81.00,-108.80,3,0.9752,19,-108.80
6,-256.00,-133.33,4,0.9704,56,-108.80
7,-250.00,-150.00,5,0.9655,50,-108.80
8,-234.00,-160.50,6,0.9607,34,-108.80
9,-234.00,-168.67,7,0.9559,34,-108.80
10,79.00,-143.90,7,0.9511,21,-108.80
11,93.00,-122.36,7,0.9464,7,-108.80
12,79.00,-105.58,7,0.9416,21,-105.58
13,-234.00,-115.46,8,0.9369,34,-105.58
14,-234.00,-123.93,9,0.9322,34,-105.58
15,97.00,-109.20,9,0.9276,3,-105.58
16,-234.00,-117.00,10,0.9229,34,-105.58
17,-234.00,-123.88,11,0.9183,34,-105.58
18,-234.00,-130.00,12,0.9137,34,-105.58
19,-234.00,-135.47,13,0.9092,34,-105.58
20,-234.00,-140.40,14,0.9046,34,-105.58
21,96.00,-129.14,14,0.9001,4,-105.58
22,-234.00,-133.91,15,0.8956,34,-105.58
23,-234.00,-138.26,16,0.8911,34,-105.58
24,96.00,-128.50,16,0.8867,4,-105.58
25,108.00,-119.04,16,0.8822,92,-105.58
26,79.00,-111.42,16,0.8778,71,-105.58
27,-234.00,-115.96,17,0.8734,34,-105.58
28,-234.00,-120.18,18,0.8691,34,-105.58
29,-287.00,-125.93,19,0.8647,87,-105.58
30,-234.00,-129.53,20,0.8604,34,-105.58
31,-234.00,-132.90,21,0.8561,34,-105.58
32,-251.00,-136.59,22,0.8518,101,-105.58
33,75.00,-130.18,22,0.8475,25,-105.58
34,-223.00,-132.91,23,0.8433,73,-105.58
35,-249.00,-136.23,24,0.8391,49,-105.58
36,-255.00,-139.53,25,0.8349,55,-105.58
37,-212.00,-141.49,26,0.8307,62,-105.58
38,-250.00,-144.34,27,0.8266,100,-105.58
39,80.00,-138.59,27,0.8224,20,-105.58
40,-234.00,-140.97,28,0.8183,34,-105.58
41,-234.00,-143.24,29,0.8142,34,-105.58
42,-342.00,-147.98,30,0.8102,142,-105.58
43,92.00,-142.40,30,0.8061,8,-105.58
44,72.00,-137.52,30,0.8021,28,-105.58
45,70.00,-132.91,30,0.7981,30,-105.58
46,-254.00,-135.54,31,0.7941,54,-105.58
47,-234.00,-137.64,32,0.7901,34,-105.58
48,90.00,-132.90,32,0.7862,10,-105.58
49,-288.00,-136.06,33,0.7822,88,-105.58
