episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-234.00,-234.00,1,0.9950,34,-234.00
2,-234.00,-234.00,2,0.9900,34,-234.00
3,91.00,-125.67,2,0.9851,9,-125.67
4,113.00,-66.00,2,0.9801,87,-66.00
5,-234.00,-99.60,3,0.9752,34,-66.00
6,-234.00,-122.00,4,0.9704,34,-66.00
7,-234.00,-138.00,5,0.9655,34,-66.00
8,32.00,-116.75,5,0.9607,118,-66.00
9,-243.00,-130.78,6,0.9559,43,-66.00
10,-234.00,-141.10,7,0.9511,34,-66.00
11,-234.00,-149.55,8,0.9464,34,-66.00
12,-226.00,-155.92,9,0.9416,76,-66.00
13,83.00,-137.54,9,0.9369,17,-66.00
14,97.00,-120.79,9,0.9322,3,-66.00
15,99.00,-106.13,9,0.9276,1,-66.00
16,-227.00,-113.69,10,0.9229,77,-66.00
17,-270.00,-122.88,11,0.9183,70,-66.00
18,-234.00,-129.06,12,0.9137,34,-66.00
19,-255.00,-135.68,13,0.9092,55,-66.00
20,-234.00,-140.60,14,0.9046,34,-66.00
21,-234.00,-145.05,15,0.9001,34,-66.00
22,-242.00,-149.45,16,0.8956,42,-66.00
23,-293.00,-155.70,17,0.8911,93,-66.00
24,86.00,-145.62,17,0.8867,14,-66.00
25,-277.00,-150.88,18,0.8822,77,-66.00
26,-234.00,-154.08,19,0.8778,34,-66.00
27,90.00,-145.04,19,0.8734,10,-66.00
28,82.00,-136.93,19,0.8691,18,-66.00
29,62.00,-130.07,19,0.8647,38,-66.00
30,-234.00,-133.53,20,0.8604,34,-66.00
31,-234.00,-136.77,21,0.8561,34,-66.00
32,-234.00,-139.81,22,0.8518,34,-66.00
33,-234.00,-142.67,23,0.8475,34,-66.00
34,-234.00,-145.35,24,0.8433,34,-66.00
35,-234.00,-147.89,25,0.8391,34,-66.00
36,-234.00,-150.28,26,0.8349,34,-66.00
37,-226.00,-152.32,27,0.8307,76,-66.00
38,-234.00,-154.47,28,0.8266,34,-66.00
39,-217.00,-156.08,29,0.8224,67,-66.00
40,-211.00,-157.45,30,0.8183,61,-66.00
41,91.00,-151.39,30,0.8142,9,-66.00
42,96.00,-145.50,30,0.8102,54,-66.00
43,-223.00,-147.30,31,0.8061,73,-66.00
44,-256.00,-149.77,32,0.8021,106,-66.00
45,96.00,-144.31,32,0.7981,4,-66.00
46,-254.00,-146.70,33,0.7941,54,-66.00
47,-234.00,-148.55,34,0.7901,34,-66.00
48,76.00,-143.88,34,0.7862,24,-66.00
49,73.00,-139.45,34,0.7822,27,-66.00
50,78.00,-135.10,34,0.7783,22,-66.00
51,-251.00,-137.37,35,0.7744,51,-66.00
52,-259.00,-139.71,36,0.7705,59,-66.00
53,-215.00,-141.13,37,0.7667,65,-66.00
54,-234.00,-142.85,38,0.7629,34,-66.00
55,-234.00,-144.51,39,0.7590,34,-66.00
56,-206.00,-145.61,40,0.7553,106,-66.00
57,-227.00,-147.04,41,0.7515,77,-66.00
58,-50.00,-145.36,41,0.7477,150,-66.00
59,95.00,-141.29,41,0.7440,55,-66.00
60,-100.00,-140.60,41,0.7403,150,-66.00
61,-50.00,-139.11,41,0.7366,150,-66.00
62,-234.00,-140.65,42,0.7329,34,-66.00
63,-234.00,-142.13,43,0.7292,34,-66.00
64,-219.00,-143.33,44,0.7256,69,-66.00
65,-234.00,-144.72,45,0.7219,34,-66.00
66,-234.00,-146.08,46,0.7183,34,-66.00
67,-100.00,-145.39,46,0.7147,150,-66.00
68,96.00,-141.84,46,0.7112,4,-66.00
69,-234.00,-143.17,47,0.7076,34,-66.00
70,114.00,-139.50,47,0.7041,36,-66.00
71,-234.00,-140.83,48,0.7005,34,-66.00
72,-218.00,-141.90,49,0.6970,68,-66.00
73,-100.00,-141.33,49,0.6936,150,-66.00
74,-50.00,-140.09,49,0.6901,150,-66.00
75,91.00,-137.01,49,0.6866,9,-66.00
76,-234.00,-138.29,50,0.6832,34,-66.00
77,-234.00,-139.53,51,0.6798,34,-66.00
78,-234.00,-140.74,52,0.6764,34,-66.00
79,-100.00,-140.23,52,0.6730,150,-66.00
80,-150.00,-140.35,52,0.6696,150,-66.00
81,-100.00,-139.85,52,0.6663,150,-66.00
82,-100.00,-139.37,52,0.6630,150,-66.00
83,-297.00,-141.27,53,0.6597,97,-66.00
84,-313.00,-143.31,54,0.6564,113,-66.00
85,-100.00,-142.80,54,0.6531,150,-66.00
86,-234.00,-143.86,55,0.6498,34,-66.00
87,83.00,-141.25,55,0.6466,17,-66.00
88,85.00,-138.68,55,0.6433,15,-66.00
89,-100.00,-138.25,55,0.6401,150,-66.00
90,-150.00,-138.38,55,0.6369,150,-66.00
91,-150.00,-138.51,55,0.6337,150,-66.00
92,-234.00,-139.54,56,0.6306,34,-66.00
93,-50.00,-138.58,56,0.6274,150,-66.00
94,-100.00,-138.17,56,0.6243,150,-66.00
95,99.00,-135.67,56,0.6211,1,-66.00
96,-100.00,-135.30,56,0.6180,150,-66.00
97,-338.00,-137.39,57,0.6149,138,-66.00
98,-150.00,-137.52,57,0.6119,150,-66.00
99,38.00,-135.75,57,0.6088,62,-66.00
100,-300.00,-137.39,58,0.6058,150,-66.00
101,-100.00,-136.05,58,0.6027,150,-66.00
102,-150.00,-135.21,58,0.5997,150,-66.00
103,-50.00,-136.62,58,0.5967,150,-66.00
104,98.00,-136.77,58,0.5937,2,-66.00
105,-100.00,-135.43,58,0.5908,150,-66.00
106,-100.00,-134.09,58,0.5878,150,-66.00
107,117.00,-130.58,58,0.5849,33,-66.00
108,-150.00,-132.40,58,0.5820,150,-66.00
109,-100.00,-130.97,58,0.5790,150,-66.00
110,-234.00,-130.97,59,0.5762,34,-66.00
111,-50.00,-129.13,59,0.5733,150,-66.00
112,-100.00,-127.87,59,0.5704,150,-66.00
113,93.00,-127.77,59,0.5676,7,-66.00
114,106.00,-127.68,59,0.5647,44,-66.00
115,-150.00,-130.17,59,0.5619,150,-66.00
116,51.00,-127.39,59,0.5591,49,-66.00
117,-100.00,-125.69,59,0.5563,150,-66.00
118,-100.00,-124.35,59,0.5535,150,-66.00
119,-251.00,-124.31,60,0.5507,51,-66.00
120,-150.00,-123.47,60,0.5480,150,-66.00
121,-100.00,-122.13,60,0.5452,150,-66.00
122,90.00,-118.81,60,0.5425,60,-66.00
123,82.00,-115.06,60,0.5398,68,-66.00
124,97.00,-114.95,60,0.5371,3,-66.00
125,-250.00,-114.68,61,0.5344,50,-66.00
126,-234.00,-114.68,62,0.5318,34,-66.00
127,83.00,-114.75,62,0.5291,17,-66.00
128,0.00,-115.57,62,0.5264,150,-66.00
129,-100.00,-117.19,62,0.5238,150,-66.00
130,0.00,-114.85,62,0.5212,150,-66.00
131,-212.00,-114.63,63,0.5186,112,-66.00
132,89.00,-111.40,63,0.5160,11,-66.00
133,95.00,-108.11,63,0.5134,5,-66.00
134,-50.00,-106.27,63,0.5108,150,-66.00
135,107.00,-102.86,63,0.5083,43,-66.00
136,-50.00,-101.02,63,0.5058,150,-66.00
137,-50.00,-99.26,63,0.5032,150,-66.00
138,-234.00,-99.26,64,0.5007,34,-66.00
139,95.00,-96.14,64,0.4982,5,-66.00
140,-269.00,-96.72,65,0.4957,119,-66.00
141,93.00,-96.70,65,0.4932,7,-66.00
142,0.00,-97.66,65,0.4908,150,-66.00
