episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-300.00,-300.00,1,0.9950,100,-300.00
2,99.00,-100.50,1,0.9900,1,-100.50
3,69.00,-44.00,1,0.9851,31,-44.00
4,69.00,-15.75,1,0.9801,31,-15.75
5,97.00,6.80,1,0.9752,3,6.80
6,95.00,21.50,1,0.9704,5,21.50
7,-300.00,-24.43,2,0.9655,100,21.50
8,-163.00,-41.75,2,0.9607,113,21.50
9,12.00,-35.78,2,0.9559,68,21.50
10,-8.00,-33.00,2,0.9511,118,21.50
11,-220.00,-50.00,2,0.9464,150,21.50
12,87.00,-38.58,2,0.9416,13,21.50
13,-240.00,-54.08,2,0.9369,150,21.50
14,-290.00,-70.93,2,0.9322,150,21.50
15,-60.00,-70.20,2,0.9276,110,21.50
16,80.00,-60.81,2,0.9229,20,21.50
17,3.00,-57.06,2,0.9183,97,21.50
18,30.00,-52.22,2,0.9137,70,21.50
19,90.00,-44.74,2,0.9092,10,21.50
20,29.00,-41.05,2,0.9046,71,21.50
21,47.00,-36.86,2,0.9001,53,21.50
22,-59.00,-37.86,2,0.8956,79,21.50
23,81.00,-32.70,2,0.8911,19,21.50
24,-300.00,-43.83,3,0.8867,100,21.50
25,68.00,-39.36,3,0.8822,32,21.50
26,-11.00,-38.27,3,0.8778,91,21.50
27,-300.00,-47.96,4,0.8734,100,21.50
28,-310.00,-57.32,4,0.8691,150,21.50
29,51.00,-53.59,4,0.8647,49,21.50
30,64.00,-49.67,4,0.8604,36,21.50
31,98.00,-44.90,4,0.8561,2,21.50
32,87.00,-40.78,4,0.8518,13,21.50
33,65.00,-37.58,4,0.8475,35,21.50
34,-200.00,-42.35,4,0.8433,150,21.50
35,-63.00,-42.94,4,0.8391,113,21.50
36,-347.00,-51.39,5,0.8349,127,21.50
37,23.00,-49.38,5,0.8307,57,21.50
38,49.00,-46.79,5,0.8266,51,21.50
39,50.00,-44.31,5,0.8224,50,21.50
40,-100.00,-45.70,5,0.8183,150,21.50
41,14.00,-44.24,5,0.8142,86,21.50
42,79.00,-41.31,5,0.8102,21,21.50
43,-190.00,-44.77,5,0.8061,140,21.50
44,-300.00,-50.57,6,0.8021,100,21.50
45,92.00,-47.40,6,0.7981,8,21.50
46,64.00,-44.98,6,0.7941,36,21.50
47,-300.00,-50.40,7,0.7901,100,21.50
48,66.00,-47.98,7,0.7862,34,21.50
49,-260.00,-52.31,7,0.7822,150,21.50
50,-170.00,-54.66,7,0.7783,150,21.50
51,37.00,-52.86,7,0.7744,63,21.50
52,-300.00,-57.62,8,0.7705,100,21.50
53,87.00,-54.89,8,0.7667,13,21.50
