episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-25.00,-25.00,0,0.9950,105,-25.00
2,77.00,26.00,0,0.9900,13,26.00
3,84.00,45.33,0,0.9851,16,45.33
4,56.00,48.00,0,0.9801,44,48.00
5,70.00,52.40,0,0.9752,30,52.40
6,47.00,51.50,0,0.9704,53,52.40
7,-6.00,43.29,0,0.9655,46,52.40
8,54.00,44.62,0,0.9607,46,52.40
9,-130.00,25.22,0,0.9559,150,52.40
10,55.00,28.20,0,0.9511,45,52.40
11,29.00,28.27,0,0.9464,71,52.40
12,-126.00,15.42,0,0.9416,116,52.40
13,56.00,18.54,0,0.9369,44,52.40
14,-53.00,13.43,0,0.9322,93,52.40
15,-360.00,-11.47,0,0.9276,150,52.40
16,-83.00,-15.94,0,0.9229,93,52.40
17,-300.00,-32.65,1,0.9183,100,52.40
18,98.00,-25.39,1,0.9137,2,52.40
19,-91.00,-28.84,1,0.9092,131,52.40
20,-300.00,-42.40,2,0.9046,100,52.40
21,41.00,-38.43,2,0.9001,59,52.40
22,-79.00,-40.27,2,0.8956,99,52.40
23,48.00,-36.43,2,0.8911,52,52.40
24,-300.00,-47.42,3,0.8867,100,52.40
25,-300.00,-57.52,4,0.8822,100,52.40
26,55.00,-53.19,4,0.8778,45,52.40
27,-300.00,-62.33,5,0.8734,100,52.40
28,96.00,-56.68,5,0.8691,4,52.40
29,-140.00,-59.55,5,0.8647,150,52.40
30,17.00,-57.00,5,0.8604,83,52.40
31,57.00,-53.32,5,0.8561,43,52.40
32,-300.00,-61.03,6,0.8518,100,52.40
33,-300.00,-68.27,7,0.8475,100,52.40
34,99.00,-63.35,7,0.8433,1,52.40
35,30.00,-60.69,7,0.8391,60,52.40
36,52.00,-57.56,7,0.8349,48,52.40
37,95.00,-53.43,7,0.8307,5,52.40
38,99.00,-49.42,7,0.8266,1,52.40
39,30.00,-47.38,7,0.8224,70,52.40
40,98.00,-43.75,7,0.8183,2,52.40
41,-300.00,-50.00,8,0.8142,100,52.40
42,-300.00,-55.95,9,0.8102,100,52.40
43,55.00,-53.37,9,0.8061,95,52.40
44,-300.00,-58.98,10,0.8021,100,52.40
45,-300.00,-64.33,11,0.7981,100,52.40
46,-21.00,-63.39,11,0.7941,101,52.40
47,92.00,-60.09,11,0.7901,8,52.40
48,-200.00,-63.00,11,0.7862,150,52.40
49,-170.00,-65.18,11,0.7822,150,52.40
50,-300.00,-69.88,12,0.7783,100,52.40
51,34.00,-67.84,12,0.7744,106,52.40
52,57.00,-65.44,12,0.7705,43,52.40
53,-300.00,-69.87,13,0.7667,100,52.40
54,4.00,-68.50,13,0.7629,66,52.40
55,78.00,-65.84,13,0.7590,22,52.40
56,96.00,-62.95,13,0.7553,4,52.40
57,41.00,-61.12,13,0.7515,49,52.40
58,99.00,-58.36,13,0.7477,1,52.40
59,88.00,-55.88,13,0.7440,12,52.40
60,-180.00,-57.95,13,0.7403,150,52.40
61,-100.00,-58.64,13,0.7366,150,52.40
62,4.00,-57.63,13,0.7329,126,52.40
63,78.00,-55.48,13,0.7292,22,52.40
64,85.00,-53.28,13,0.7256,15,52.40
65,-160.00,-54.92,13,0.7219,150,52.40
66,23.00,-53.74,13,0.7183,67,52.40
67,64.00,-51.99,13,0.7147,36,52.40
68,-20.00,-51.51,13,0.7112,100,52.40
69,59.00,-49.91,13,0.7076,41,52.40
70,80.00,-48.06,13,0.7041,20,52.40
71,99.00,-45.99,13,0.7005,1,52.40
72,-300.00,-49.51,14,0.6970,100,52.40
73,-110.00,-50.34,14,0.6936,150,52.40
74,89.00,-48.46,14,0.6901,11,52.40
75,-300.00,-51.81,15,0.6866,100,52.40
76,-110.00,-52.58,15,0.6832,150,52.40
77,62.00,-51.09,15,0.6798,38,52.40
78,-72.00,-51.36,15,0.6764,142,52.40
79,66.00,-49.87,15,0.6730,34,52.40
80,80.00,-48.25,15,0.6696,20,52.40
81,65.00,-46.85,15,0.6663,35,52.40
82,-11.00,-46.41,15,0.6630,101,52.40
83,-130.00,-47.42,15,0.6597,150,52.40
84,-170.00,-48.88,15,0.6564,150,52.40
85,41.00,-47.82,15,0.6531,59,52.40
86,92.00,-46.20,15,0.6498,8,52.40
87,68.00,-44.89,15,0.6466,32,52.40
88,-100.00,-45.51,15,0.6433,150,52.40
89,-180.00,-47.02,15,0.6401,150,52.40
90,-65.00,-47.22,15,0.6369,145,52.40
91,-210.00,-49.01,15,0.6337,150,52.40
