episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,31.00,31.00,0,0.9950,69,31.00
2,-20.00,5.50,0,0.9900,90,31.00
3,64.00,25.00,0,0.9851,36,31.00
4,80.00,38.75,0,0.9801,20,38.75
5,-250.00,-19.00,0,0.9752,150,38.75
6,-32.00,-21.17,0,0.9704,102,38.75
7,-300.00,-61.00,1,0.9655,100,38.75
8,-270.00,-87.12,1,0.9607,150,38.75
9,-300.00,-110.78,2,0.9559,100,38.75
10,61.00,-93.60,2,0.9511,39,38.75
11,-94.00,-93.64,2,0.9464,124,38.75
12,-40.00,-89.17,2,0.9416,90,38.75
13,-59.00,-86.85,2,0.9369,109,38.75
14,-300.00,-102.07,3,0.9322,100,38.75
15,-427.00,-123.73,4,0.9276,117,38.75
16,96.00,-110.00,4,0.9229,4,38.75
17,-300.00,-121.18,5,0.9183,100,38.75
18,78.00,-110.11,5,0.9137,22,38.75
19,1.00,-104.26,5,0.9092,89,38.75
20,-300.00,-114.05,6,0.9046,100,38.75
21,86.00,-104.52,6,0.9001,14,38.75
22,37.00,-98.09,6,0.8956,33,38.75
23,26.00,-92.70,6,0.8911,124,38.75
24,73.00,-85.79,6,0.8867,27,38.75
25,60.00,-79.96,6,0.8822,40,38.75
26,98.00,-73.12,6,0.8778,2,38.75
27,-95.00,-73.93,6,0.8734,125,38.75
28,95.00,-67.89,6,0.8691,5,38.75
29,-300.00,-75.90,7,0.8647,100,38.75
30,79.00,-70.73,7,0.8604,21,38.75
31,-38.00,-69.68,7,0.8561,68,38.75
32,-300.00,-76.88,8,0.8518,100,38.75
33,76.00,-72.24,8,0.8475,24,38.75
34,-130.00,-73.94,8,0.8433,150,38.75
35,58.00,-70.17,8,0.8391,42,38.75
36,9.00,-67.97,8,0.8349,91,38.75
37,53.00,-64.70,8,0.8307,47,38.75
38,82.00,-60.84,8,0.8266,18,38.75
39,76.00,-57.33,8,0.8224,24,38.75
40,-300.00,-63.40,9,0.8183,100,38.75
41,-190.00,-66.49,9,0.8142,150,38.75
42,90.00,-62.76,9,0.8102,10,38.75
43,-300.00,-68.28,10,0.8061,100,38.75
44,67.00,-65.20,10,0.8021,33,38.75
45,95.00,-61.64,10,0.7981,5,38.75
46,-100.00,-62.48,10,0.7941,150,38.75
47,56.00,-59.96,10,0.7901,44,38.75
48,-343.00,-65.85,11,0.7862,133,38.75
49,-300.00,-70.63,12,0.7822,100,38.75
50,83.00,-67.56,12,0.7783,17,38.75
51,-120.00,-68.59,12,0.7744,150,38.75
52,60.00,-66.12,12,0.7705,40,38.75
53,-300.00,-70.53,13,0.7667,100,38.75
54,98.00,-67.41,13,0.7629,2,38.75
55,13.00,-65.95,13,0.7590,57,38.75
56,-130.00,-67.09,13,0.7553,150,38.75
57,86.00,-64.40,13,0.7515,14,38.75
58,4.00,-63.22,13,0.7477,96,38.75
59,92.00,-60.59,13,0.7440,8,38.75
60,-100.00,-61.25,13,0.7403,150,38.75
61,88.00,-58.80,13,0.7366,12,38.75
62,30.00,-57.37,13,0.7329,70,38.75
63,55.00,-55.59,13,0.7292,45,38.75
64,86.00,-53.38,13,0.7256,14,38.75
65,88.00,-51.20,13,0.7219,12,38.75
66,65.00,-49.44,13,0.7183,35,38.75
67,-110.00,-50.34,13,0.7147,150,38.75
68,-120.00,-51.37,13,0.7112,150,38.75
69,90.00,-49.32,13,0.7076,10,38.75
70,-48.00,-49.30,13,0.7041,138,38.75
71,93.00,-47.30,13,0.7005,7,38.75
72,86.00,-45.44,13,0.6970,14,38.75
73,85.00,-43.66,13,0.6936,15,38.75
74,6.00,-42.99,13,0.6901,54,38.75
75,-180.00,-44.81,13,0.6866,150,38.75
76,-200.00,-46.86,13,0.6832,150,38.75
77,-160.00,-48.32,13,0.6798,150,38.75
78,-210.00,-50.40,13,0.6764,150,38.75
79,86.00,-48.67,13,0.6730,14,38.75
80,-100.00,-49.31,13,0.6696,150,38.75
81,61.00,-47.95,13,0.6663,39,38.75
82,-160.00,-49.32,13,0.6630,150,38.75
83,-300.00,-52.34,14,0.6597,100,38.75
84,-120.00,-53.14,14,0.6564,150,38.75
85,-120.00,-53.93,14,0.6531,150,38.75
86,-170.00,-55.28,14,0.6498,150,38.75
87,20.00,-54.41,14,0.6466,40,38.75
88,9.00,-53.69,14,0.6433,81,38.75
89,-220.00,-55.56,14,0.6401,150,38.75
90,-190.00,-57.06,14,0.6369,150,38.75
91,-170.00,-58.30,14,0.6337,150,38.75
92,50.00,-57.12,14,0.6306,50,38.75
93,-180.00,-58.44,14,0.6274,150,38.75
94,-300.00,-61.01,15,0.6243,100,38.75
95,88.00,-59.44,15,0.6211,12,38.75
96,50.00,-58.30,15,0.6180,50,38.75
97,-170.00,-59.45,15,0.6149,150,38.75
98,-12.00,-58.97,15,0.6119,82,38.75
99,91.00,-57.45,15,0.6088,9,38.75
100,-170.00,-58.58,15,0.6058,150,38.75
101,36.00,-58.53,15,0.6027,64,38.75
102,79.00,-57.54,15,0.5997,21,38.75
103,-170.00,-59.88,15,0.5967,150,38.75
104,-160.00,-62.28,15,0.5937,150,38.75
105,2.00,-59.76,15,0.5908,98,38.75
106,59.00,-58.85,15,0.5878,41,38.75
107,82.00,-55.03,15,0.5849,18,38.75
108,29.00,-52.04,15,0.5820,71,38.75
109,-190.00,-50.94,15,0.5790,150,38.75
110,95.00,-50.60,15,0.5762,5,38.75
111,-190.00,-51.56,15,0.5733,150,38.75
112,-170.00,-52.86,15,0.5704,150,38.75
113,-30.00,-52.57,15,0.5676,120,38.75
114,98.00,-48.59,15,0.5647,2,38.75
115,81.00,-43.51,15,0.5619,19,38.75
116,-170.00,-46.17,15,0.5591,150,38.75
117,88.00,-42.29,15,0.5563,12,38.75
118,-170.00,-44.77,15,0.5535,150,38.75
119,55.00,-44.23,15,0.5507,25,38.75
120,72.00,-40.51,15,0.5480,28,38.75
121,-170.00,-43.07,15,0.5452,150,38.75
122,93.00,-42.51,15,0.5425,7,38.75
123,88.00,-41.89,15,0.5398,12,38.75
124,-180.00,-44.42,15,0.5371,150,38.75
125,-160.00,-46.62,15,0.5344,150,38.75
126,94.00,-46.66,15,0.5318,6,38.75
127,55.00,-45.16,15,0.5291,45,38.75
128,31.00,-45.80,15,0.5264,69,38.75
129,99.00,-41.81,15,0.5238,1,38.75
130,-180.00,-44.40,15,0.5212,150,38.75
131,43.00,-43.59,15,0.5186,57,38.75
132,-114.00,-41.73,15,0.5160,54,38.75
133,-76.00,-43.25,15,0.5134,106,38.75
134,-100.00,-42.95,15,0.5108,150,38.75
135,80.00,-42.73,15,0.5083,20,38.75
136,-120.00,-44.02,15,0.5058,150,38.75
137,-200.00,-46.55,15,0.5032,150,38.75
138,-99.00,-48.36,15,0.5007,149,38.75
139,91.00,-48.21,15,0.4982,9,38.75
140,90.00,-44.31,15,0.4957,10,38.75
141,-170.00,-44.11,15,0.4932,150,38.75
142,-170.00,-46.71,15,0.4908,150,38.75
143,98.00,-42.73,15,0.4883,2,38.75
144,-67.00,-44.07,15,0.4859,147,38.75
145,40.00,-44.62,15,0.4834,60,38.75
146,-30.00,-43.92,15,0.4810,120,38.75
147,50.00,-43.98,15,0.4786,50,38.75
148,-170.00,-42.25,15,0.4762,150,38.75
149,46.00,-38.79,15,0.4738,54,38.75
150,62.00,-39.00,15,0.4715,38,38.75
151,99.00,-36.81,15,0.4691,1,38.75
152,86.00,-36.55,15,0.4668,14,38.75
153,73.00,-32.82,15,0.4644,27,38.75
154,-160.00,-35.40,15,0.4621,150,38.75
155,-180.00,-37.33,15,0.4598,150,38.75
156,-120.00,-37.23,15,0.4575,150,38.75
157,-240.00,-40.49,15,0.4552,150,38.75
158,-110.00,-41.63,15,0.4529,150,38.75
159,-210.00,-44.65,15,0.4507,150,38.75
160,11.00,-43.54,15,0.4484,69,38.75
161,-180.00,-46.22,15,0.4462,150,38.75
162,-100.00,-47.52,15,0.4440,150,38.75
163,80.00,-47.27,15,0.4417,20,38.75
164,68.00,-47.45,15,0.4395,32,38.75
165,-170.00,-50.03,15,0.4373,150,38.75
166,-180.00,-52.48,15,0.4351,150,38.75
167,22.00,-51.16,15,0.4330,68,38.75
168,-170.00,-51.66,15,0.4308,150,38.75
169,37.00,-52.19,15,0.4286,63,38.75
170,-170.00,-53.41,15,0.4265,150,38.75
171,-110.00,-55.44,15,0.4244,120,38.75
172,4.00,-56.26,15,0.4223,96,38.75
173,-180.00,-58.91,15,0.4201,150,38.75
174,-170.00,-60.67,15,0.4180,150,38.75
175,-180.00,-60.67,15,0.4159,150,38.75
176,42.00,-58.25,15,0.4139,58,38.75
177,97.00,-55.68,15,0.4118,3,38.75
178,-170.00,-55.28,15,0.4097,150,38.75
179,42.00,-55.72,15,0.4077,58,38.75
180,-200.00,-56.72,15,0.4057,150,38.75
181,-170.00,-59.03,15,0.4036,150,38.75
182,-170.00,-59.13,15,0.4016,150,38.75
183,38.00,-55.75,15,0.3996,62,38.75
184,56.00,-53.99,15,0.3976,44,38.75
185,-4.00,-52.83,15,0.3956,74,38.75
186,57.00,-50.56,15,0.3936,43,38.75
187,51.00,-50.25,15,0.3917,49,38.75
