episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,81.00,81.00,0,0.9950,19,81.00
2,-150.00,-34.50,0,0.9900,150,81.00
3,37.00,-10.67,0,0.9851,63,81.00
4,73.00,10.25,0,0.9801,27,81.00
5,8.00,9.80,0,0.9752,92,81.00
6,-42.00,1.17,0,0.9704,142,81.00
7,67.00,10.57,0,0.9655,33,81.00
8,-322.00,-31.00,1,0.9607,122,81.00
9,-300.00,-60.89,2,0.9559,100,81.00
10,11.00,-53.70,2,0.9511,89,81.00
11,74.00,-42.09,2,0.9464,26,81.00
12,-150.00,-51.08,2,0.9416,150,81.00
13,-26.00,-49.15,2,0.9369,126,81.00
14,72.00,-40.50,2,0.9322,28,81.00
15,49.00,-34.53,2,0.9276,51,81.00
16,81.00,-27.31,2,0.9229,19,81.00
17,74.00,-21.35,2,0.9183,26,81.00
18,96.00,-14.83,2,0.9137,4,81.00
19,-25.00,-15.37,2,0.9092,125,81.00
20,-150.00,-22.10,2,0.9046,150,81.00
21,-150.00,-28.19,2,0.9001,150,81.00
22,96.00,-22.55,2,0.8956,4,81.00
23,53.00,-19.26,2,0.8911,47,81.00
24,-300.00,-30.96,3,0.8867,100,81.00
25,98.00,-25.80,3,0.8822,2,81.00
26,82.00,-21.65,3,0.8778,18,81.00
27,87.00,-17.63,3,0.8734,13,81.00
28,15.00,-16.46,3,0.8691,85,81.00
29,84.00,-13.00,3,0.8647,16,81.00
30,94.00,-9.43,3,0.8604,6,81.00
31,-300.00,-18.81,4,0.8561,100,81.00
32,-300.00,-27.59,5,0.8518,100,81.00
33,82.00,-24.27,5,0.8475,18,81.00
34,27.00,-22.76,5,0.8433,73,81.00
35,-150.00,-26.40,5,0.8391,150,81.00
36,-300.00,-34.00,6,0.8349,100,81.00
37,98.00,-30.43,6,0.8307,2,81.00
38,-300.00,-37.53,7,0.8266,100,81.00
39,92.00,-34.21,7,0.8224,8,81.00
40,54.00,-32.00,7,0.8183,46,81.00
41,-300.00,-38.54,8,0.8142,100,81.00
42,94.00,-35.38,8,0.8102,6,81.00
43,-150.00,-38.05,8,0.8061,150,81.00
44,87.00,-35.20,8,0.8021,13,81.00
45,53.00,-33.24,8,0.7981,47,81.00
46,40.00,-31.65,8,0.7941,60,81.00
47,67.00,-29.55,8,0.7901,33,81.00
48,7.00,-28.79,8,0.7862,93,81.00
49,-150.00,-31.27,8,0.7822,150,81.00
50,66.00,-29.32,8,0.7783,34,81.00
51,-1.00,-28.76,8,0.7744,101,81.00
52,-150.00,-31.10,8,0.7705,150,81.00
53,-150.00,-33.34,8,0.7667,150,81.00
54,-43.00,-33.52,8,0.7629,143,81.00
55,-4.00,-32.98,8,0.7590,104,81.00
56,-150.00,-35.07,8,0.7553,150,81.00
57,99.00,-32.72,8,0.7515,1,81.00
