episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-300.00,-300.00,1,0.9950,100,-300.00
2,99.00,-100.50,1,0.9900,1,-100.50
3,69.00,-44.00,1,0.9851,31,-44.00
4,69.00,-15.75,1,0.9801,31,-15.75
5,97.00,6.80,1,0.9752,3,6.80
6,95.00,21.50,1,0.9704,5,21.50
7,-300.00,-24.43,2,0.9655,100,21.50
8,-13.00,-23.00,2,0.9607,113,21.50
9,32.00,-16.89,2,0.9559,68,21.50
10,-18.00,-17.00,2,0.9511,118,21.50
11,-150.00,-29.09,2,0.9464,150,21.50
12,60.00,-21.67,2,0.9416,40,21.50
13,-334.00,-45.69,3,0.9369,134,21.50
14,99.00,-35.36,3,0.9322,1,21.50
15,-150.00,-43.00,3,0.9276,150,21.50
16,92.00,-34.56,3,0.9229,8,21.50
17,38.00,-30.29,3,0.9183,62,21.50
18,-300.00,-45.28,4,0.9137,100,21.50
19,-30.00,-44.47,4,0.9092,130,21.50
20,52.00,-39.65,4,0.9046,48,21.50
21,95.00,-33.24,4,0.9001,5,21.50
22,74.00,-28.36,4,0.8956,26,21.50
23,92.00,-23.13,4,0.8911,8,21.50
24,38.00,-20.58,4,0.8867,62,21.50
25,-300.00,-31.76,5,0.8822,100,21.50
26,-150.00,-36.31,5,0.8778,150,21.50
27,94.00,-31.48,5,0.8734,6,21.50
28,92.00,-27.07,5,0.8691,8,21.50
29,-150.00,-31.31,5,0.8647,150,21.50
30,-150.00,-35.27,5,0.8604,150,21.50
31,-150.00,-38.97,5,0.8561,150,21.50
32,-34.00,-38.81,5,0.8518,134,21.50
33,22.00,-36.97,5,0.8475,78,21.50
34,-150.00,-40.29,5,0.8433,150,21.50
35,-300.00,-47.71,6,0.8391,100,21.50
36,90.00,-43.89,6,0.8349,10,21.50
37,23.00,-42.08,6,0.8307,77,21.50
38,-150.00,-44.92,6,0.8266,150,21.50
39,-150.00,-47.62,6,0.8224,150,21.50
40,-18.00,-46.88,6,0.8183,118,21.50
41,95.00,-43.41,6,0.8142,5,21.50
42,-300.00,-49.52,7,0.8102,100,21.50
43,-150.00,-51.86,7,0.8061,150,21.50
44,95.00,-48.52,7,0.8021,5,21.50
45,-29.00,-48.09,7,0.7981,129,21.50
46,48.00,-46.00,7,0.7941,52,21.50
47,-150.00,-48.21,7,0.7901,150,21.50
48,96.00,-45.21,7,0.7862,4,21.50
49,-150.00,-47.35,7,0.7822,150,21.50
50,2.00,-46.36,7,0.7783,98,21.50
51,-150.00,-48.39,7,0.7744,150,21.50
52,-300.00,-53.23,8,0.7705,100,21.50
53,1.00,-52.21,8,0.7667,99,21.50
