episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,20.00,20.00,0,0.9950,80,20.00
2,-300.00,-140.00,1,0.9900,100,20.00
3,24.00,-85.33,1,0.9851,76,20.00
4,90.00,-41.50,1,0.9801,10,20.00
5,-10.00,-35.20,1,0.9752,110,20.00
6,55.00,-20.17,1,0.9704,45,20.00
7,-300.00,-60.14,2,0.9655,100,20.00
8,82.00,-42.38,2,0.9607,18,20.00
9,-314.00,-72.56,3,0.9559,114,20.00
10,-300.00,-95.30,4,0.9511,100,20.00
11,60.00,-81.18,4,0.9464,40,20.00
12,-150.00,-86.92,4,0.9416,150,20.00
13,99.00,-72.62,4,0.9369,1,20.00
14,-150.00,-78.14,4,0.9322,150,20.00
15,83.00,-67.40,4,0.9276,17,20.00
16,48.00,-60.19,4,0.9229,52,20.00
17,1.00,-56.59,4,0.9183,99,20.00
18,89.00,-48.50,4,0.9137,11,20.00
19,46.00,-43.53,4,0.9092,54,20.00
20,52.00,-38.75,4,0.9046,48,20.00
21,-39.00,-38.76,4,0.9001,139,20.00
22,28.00,-35.73,4,0.8956,72,20.00
23,78.00,-30.78,4,0.8911,22,20.00
24,96.00,-25.50,4,0.8867,4,20.00
25,43.00,-22.76,4,0.8822,57,20.00
26,38.00,-20.42,4,0.8778,62,20.00
27,72.00,-17.00,4,0.8734,28,20.00
28,52.00,-14.54,4,0.8691,48,20.00
29,93.00,-10.83,4,0.8647,7,20.00
30,-150.00,-15.47,4,0.8604,150,20.00
31,32.00,-13.94,4,0.8561,68,20.00
32,85.00,-10.84,4,0.8518,15,20.00
33,22.00,-9.85,4,0.8475,78,20.00
34,88.00,-6.97,4,0.8433,12,20.00
35,-150.00,-11.06,4,0.8391,150,20.00
36,-150.00,-14.92,4,0.8349,150,20.00
37,-300.00,-22.62,5,0.8307,100,20.00
38,-150.00,-25.97,5,0.8266,150,20.00
39,-339.00,-34.00,6,0.8224,139,20.00
40,58.00,-31.70,6,0.8183,42,20.00
41,2.00,-30.88,6,0.8142,98,20.00
42,74.00,-28.38,6,0.8102,26,20.00
43,-300.00,-34.70,7,0.8061,100,20.00
44,82.00,-32.05,7,0.8021,18,20.00
45,94.00,-29.24,7,0.7981,6,20.00
46,-300.00,-35.13,8,0.7941,100,20.00
47,-150.00,-37.57,8,0.7901,150,20.00
48,-18.00,-37.17,8,0.7862,118,20.00
49,62.00,-35.14,8,0.7822,38,20.00
50,-7.00,-34.58,8,0.7783,107,20.00
51,45.00,-33.02,8,0.7744,55,20.00
52,31.00,-31.79,8,0.7705,69,20.00
53,-150.00,-34.02,8,0.7667,150,20.00
54,-150.00,-36.17,8,0.7629,150,20.00
55,44.00,-34.71,8,0.7590,56,20.00
56,-150.00,-36.77,8,0.7553,150,20.00
57,16.00,-35.84,8,0.7515,84,20.00
58,84.00,-33.78,8,0.7477,16,20.00
59,81.00,-31.83,8,0.7440,19,20.00
60,78.00,-30.00,8,0.7403,22,20.00
61,-150.00,-31.97,8,0.7366,150,20.00
62,-150.00,-33.87,8,0.7329,150,20.00
63,-150.00,-35.71,8,0.7292,150,20.00
64,95.00,-33.67,8,0.7256,5,20.00
65,-150.00,-35.46,8,0.7219,150,20.00
66,-150.00,-37.20,8,0.7183,150,20.00
67,89.00,-35.31,8,0.7147,11,20.00
68,-150.00,-37.00,8,0.7112,150,20.00
69,-150.00,-38.64,8,0.7076,150,20.00
70,3.00,-38.04,8,0.7041,97,20.00
71,-150.00,-39.62,8,0.7005,150,20.00
72,96.00,-37.74,8,0.6970,4,20.00
73,96.00,-35.90,8,0.6936,4,20.00
74,-150.00,-37.45,8,0.6901,150,20.00
75,-150.00,-38.95,8,0.6866,150,20.00
76,77.00,-37.42,8,0.6832,23,20.00
77,74.00,-35.97,8,0.6798,26,20.00
78,-150.00,-37.44,8,0.6764,150,20.00
79,-150.00,-38.86,8,0.6730,150,20.00
80,-150.00,-40.25,8,0.6696,150,20.00
81,-150.00,-41.60,8,0.6663,150,20.00
82,-150.00,-42.93,8,0.6630,150,20.00
83,56.00,-41.73,8,0.6597,44,20.00
84,-4.00,-41.29,8,0.6564,104,20.00
85,-150.00,-42.56,8,0.6531,150,20.00
86,-150.00,-43.81,8,0.6498,150,20.00
87,-150.00,-45.03,8,0.6466,150,20.00
88,-150.00,-46.23,8,0.6433,150,20.00
89,-150.00,-47.39,8,0.6401,150,20.00
90,-150.00,-48.53,8,0.6369,150,20.00
