episode,reward,moving_avg,dead_count,epsilon,steps,best_reward
1,-5.00,-5.00,0,0.9950,105,-5.00
2,87.00,41.00,0,0.9900,13,41.00
3,84.00,55.33,0,0.9851,16,55.33
4,56.00,55.50,0,0.9801,44,55.50
5,70.00,58.40,0,0.9752,30,58.40
6,47.00,56.50,0,0.9704,53,58.40
7,54.00,56.14,0,0.9655,46,58.40
8,81.00,59.25,0,0.9607,19,59.25
9,-150.00,36.00,0,0.9559,150,59.25
10,-300.00,2.40,1,0.9511,100,59.25
11,57.00,7.36,1,0.9464,43,59.25
12,-16.00,5.42,1,0.9416,116,59.25
13,56.00,9.31,1,0.9369,44,59.25
14,-150.00,-2.07,1,0.9322,150,59.25
15,-150.00,-11.93,1,0.9276,150,59.25
16,61.00,-7.38,1,0.9229,39,59.25
17,-319.00,-25.71,2,0.9183,119,59.25
18,88.00,-19.39,2,0.9137,12,59.25
19,-300.00,-34.16,3,0.9092,100,59.25
20,92.00,-27.85,3,0.9046,8,59.25
21,69.00,-23.24,3,0.9001,31,59.25
22,-300.00,-35.82,4,0.8956,100,59.25
23,-150.00,-40.78,4,0.8911,150,59.25
24,-300.00,-51.58,5,0.8867,100,59.25
25,29.00,-48.36,5,0.8822,71,59.25
26,97.00,-42.77,5,0.8778,3,59.25
27,14.00,-40.67,5,0.8734,86,59.25
28,-35.00,-40.46,5,0.8691,135,59.25
29,-150.00,-44.24,5,0.8647,150,59.25
30,-26.00,-43.63,5,0.8604,126,59.25
31,16.00,-41.71,5,0.8561,84,59.25
32,-150.00,-45.09,5,0.8518,150,59.25
33,99.00,-40.73,5,0.8475,1,59.25
34,99.00,-36.62,5,0.8433,1,59.25
35,92.00,-32.94,5,0.8391,8,59.25
36,21.00,-31.44,5,0.8349,79,59.25
37,-150.00,-34.65,5,0.8307,150,59.25
38,56.00,-32.26,5,0.8266,44,59.25
39,-150.00,-35.28,5,0.8224,150,59.25
40,-150.00,-38.15,5,0.8183,150,59.25
41,66.00,-35.61,5,0.8142,34,59.25
42,94.00,-32.52,5,0.8102,6,59.25
43,-150.00,-35.26,5,0.8061,150,59.25
44,77.00,-32.70,5,0.8021,23,59.25
45,3.00,-31.91,5,0.7981,97,59.25
46,33.00,-30.50,5,0.7941,67,59.25
47,23.00,-29.36,5,0.7901,77,59.25
48,5.00,-28.65,5,0.7862,95,59.25
49,97.00,-26.08,5,0.7822,3,59.25
50,-150.00,-28.56,5,0.7783,150,59.25
51,-43.00,-28.84,5,0.7744,143,59.25
52,-321.00,-34.46,6,0.7705,121,59.25
53,-150.00,-36.64,6,0.7667,150,59.25
54,-150.00,-38.74,6,0.7629,150,59.25
55,-150.00,-40.76,6,0.7590,150,59.25
56,-150.00,-42.71,6,0.7553,150,59.25
57,-150.00,-44.60,6,0.7515,150,59.25
58,-150.00,-46.41,6,0.7477,150,59.25
59,-328.00,-51.19,7,0.7440,128,59.25
60,-300.00,-55.33,8,0.7403,100,59.25
61,6.00,-54.33,8,0.7366,94,59.25
62,-27.00,-53.89,8,0.7329,127,59.25
63,-150.00,-55.41,8,0.7292,150,59.25
64,-32.00,-55.05,8,0.7256,132,59.25
65,94.00,-52.75,8,0.7219,6,59.25
66,-150.00,-54.23,8,0.7183,150,59.25
67,-150.00,-55.66,8,0.7147,150,59.25
68,19.00,-54.56,8,0.7112,81,59.25
69,-339.00,-58.68,9,0.7076,139,59.25
70,-150.00,-59.99,9,0.7041,150,59.25
71,39.00,-58.59,9,0.7005,61,59.25
72,-150.00,-59.86,9,0.6970,150,59.25
73,83.00,-57.90,9,0.6936,17,59.25
74,42.00,-56.55,9,0.6901,58,59.25
75,98.00,-54.49,9,0.6866,2,59.25
76,37.00,-53.29,9,0.6832,63,59.25
77,56.00,-51.87,9,0.6798,44,59.25
78,97.00,-49.96,9,0.6764,3,59.25
79,-150.00,-51.23,9,0.6730,150,59.25
80,-150.00,-52.46,9,0.6696,150,59.25
81,-150.00,-53.67,9,0.6663,150,59.25
82,-150.00,-54.84,9,0.6630,150,59.25
83,96.00,-53.02,9,0.6597,4,59.25
84,-150.00,-54.18,9,0.6564,150,59.25
85,-300.00,-57.07,10,0.6531,100,59.25
86,-150.00,-58.15,10,0.6498,150,59.25
87,-150.00,-59.21,10,0.6466,150,59.25
88,-150.00,-60.24,10,0.6433,150,59.25
89,26.00,-59.27,10,0.6401,74,59.25
90,78.00,-57.74,10,0.6369,22,59.25
91,72.00,-56.32,10,0.6337,28,59.25
92,-300.00,-58.97,11,0.6306,100,59.25
93,-150.00,-59.95,11,0.6274,150,59.25
94,-150.00,-60.90,11,0.6243,150,59.25
95,-150.00,-61.84,11,0.6211,150,59.25
96,1.00,-61.19,11,0.6180,99,59.25
97,5.00,-60.51,11,0.6149,95,59.25
98,79.00,-59.08,11,0.6119,21,59.25
99,-150.00,-60.00,11,0.6088,150,59.25
100,58.00,-58.82,11,0.6058,42,59.25
101,-150.00,-60.27,11,0.6027,150,59.25
102,-150.00,-62.64,11,0.5997,150,59.25
103,-300.00,-66.48,12,0.5967,100,59.25
104,-300.00,-70.04,13,0.5937,100,59.25
105,97.00,-69.77,13,0.5908,3,59.25
106,-150.00,-71.74,13,0.5878,150,59.25
107,96.00,-71.32,13,0.5849,4,59.25
108,98.00,-71.15,13,0.5820,2,59.25
109,-15.00,-69.80,13,0.5790,115,59.25
110,-150.00,-68.30,13,0.5762,150,59.25
111,-34.00,-69.21,13,0.5733,134,59.25
112,95.00,-68.10,13,0.5704,5,59.25
113,87.00,-67.79,13,0.5676,13,59.25
114,-150.00,-67.79,13,0.5647,150,59.25
115,-150.00,-67.79,13,0.5619,150,59.25
116,-150.00,-69.90,13,0.5591,150,59.25
117,-150.00,-68.21,13,0.5563,150,59.25
118,93.00,-68.16,13,0.5535,7,59.25
119,-150.00,-66.66,13,0.5507,150,59.25
120,-150.00,-69.08,13,0.5480,150,59.25
121,96.00,-68.81,13,0.5452,4,59.25
122,45.00,-65.36,13,0.5425,55,59.25
123,-150.00,-65.36,13,0.5398,150,59.25
124,-150.00,-63.86,13,0.5371,150,59.25
125,-150.00,-65.65,13,0.5344,150,59.25
126,-150.00,-68.12,13,0.5318,150,59.25
127,-150.00,-69.76,13,0.5291,150,59.25
128,83.00,-68.58,13,0.5264,17,59.25
129,-150.00,-68.58,13,0.5238,150,59.25
130,96.00,-67.36,13,0.5212,4,59.25
131,-150.00,-69.02,13,0.5186,150,59.25
132,-300.00,-70.52,14,0.5160,100,59.25
133,96.00,-70.55,14,0.5134,4,59.25
134,-13.00,-71.67,14,0.5108,113,59.25
135,10.00,-72.49,14,0.5083,90,59.25
136,94.00,-71.76,14,0.5058,6,59.25
137,-150.00,-71.76,14,0.5032,150,59.25
138,-150.00,-73.82,14,0.5007,150,59.25
139,-331.00,-75.63,15,0.4982,131,59.25
140,-150.00,-75.63,15,0.4957,150,59.25
141,-150.00,-77.79,15,0.4932,150,59.25
142,-150.00,-80.23,15,0.4908,150,59.25
143,96.00,-77.77,15,0.4883,4,59.25
144,-150.00,-80.04,15,0.4859,150,59.25
145,91.00,-79.16,15,0.4834,9,59.25
146,-150.00,-80.99,15,0.4810,150,59.25
147,41.00,-80.81,15,0.4786,59,59.25
148,-150.00,-82.36,15,0.4762,150,59.25
149,-150.00,-84.83,15,0.4738,150,59.25
150,-150.00,-84.83,15,0.4715,150,59.25
151,-150.00,-85.90,15,0.4691,150,59.25
152,-150.00,-84.19,15,0.4668,150,59.25
153,-11.00,-82.80,15,0.4644,111,59.25
154,-150.00,-82.80,15,0.4621,150,59.25
155,81.00,-80.49,15,0.4598,19,59.25
156,-150.00,-80.49,15,0.4575,150,59.25
157,-150.00,-80.49,15,0.4552,150,59.25
158,99.00,-78.00,15,0.4529,1,59.25
159,-300.00,-77.72,16,0.4507,100,59.25
160,-150.00,-76.22,16,0.4484,150,59.25
161,-150.00,-77.78,16,0.4462,150,59.25
162,-150.00,-79.01,16,0.4440,150,59.25
163,-150.00,-79.01,16,0.4417,150,59.25
164,-150.00,-80.19,16,0.4395,150,59.25
165,93.00,-80.20,16,0.4373,7,59.25
166,-150.00,-80.20,16,0.4351,150,59.25
167,70.00,-78.00,16,0.4330,30,59.25
168,42.00,-77.77,16,0.4308,58,59.25
169,-150.00,-75.88,16,0.4286,150,59.25
170,95.00,-73.43,16,0.4265,5,59.25
171,-300.00,-76.82,17,0.4244,100,59.25
172,-150.00,-76.82,17,0.4223,150,59.25
173,-150.00,-79.15,17,0.4201,150,59.25
174,95.00,-78.62,17,0.4180,5,59.25
175,-300.00,-82.60,18,0.4159,100,59.25
176,-150.00,-84.47,18,0.4139,150,59.25
177,-300.00,-88.03,19,0.4118,100,59.25
178,99.00,-88.01,19,0.4097,1,59.25
179,-300.00,-89.51,20,0.4077,100,59.25
